Chunk ID,Text,Page Range,Line Range,Filename
62, 異質系統之間運算資源的整合。,"(4, 4)","(63, 63)",data/report.pdf
63,即讓不同等級或作業系統的電腦，彼此間可以透過通訊標準來互相溝通，分享彼此的運算資源。,"(4, 4)","(63, 64)",data/report.pdf
64,Hadoop Hadoop is a software platform that lets one easily write and run applicationsthat process vast amounts of data. 以Java開發的自由軟體，擁有上千個節點，可處理Petabyte等級的資料量，包含了HDFS、MapReduce。,"(4, 4)","(65, 69)",data/report.pdf
65,創始者為Doug Cutting，目前為Apache軟體基金會的top level project。,"(4, 4)","(69, 70)",data/report.pdf
66,HDFS(Hadoop Distributed File System) Hadoop專案中的檔案系統。,"(4, 4)","(71, 72)",data/report.pdf
67, 實現類似Google File System 一個易於擴充的分散式檔案系統，目的為對大量資料進行分析。,"(4, 4)","(73, 74)",data/report.pdf
68, 能運作於較為廉價的普通硬體之上，且可提供容錯功能 可給大量用戶提供總體性能較高的服務。,"(4, 4)","(75, 76)",data/report.pdf
69,NutchNutch是一個根基於Lucene Java為了搜尋和索引元件建立的開放原始碼搜尋引擎成果。,"(4, 4)","(77, 79)",data/report.pdf
70,基本上，它是建立在Hadoop之上，利用HDFS作為儲存搜尋索引用的資料庫，並且運用Map/Reduce的分散式運算來搜尋索引，進而搜尋到想要的資料，它即是雲端運算的使用實例。,"(4, 4)","(80, 82)",data/report.pdf
71,由於Nutch為開放原始碼，因此使用者可以任意修改內容，成為客製化的搜尋引擎，人人皆可量身訂做自己獨特風格的搜尋引擎。,"(4, 4)","(83, 84)",data/report.pdf
72,CrawlzillaCrawlzilla為修改Nutch更進階的客製化搜尋引擎，它簡化了安裝步驟流程和設定，使一般使用者可以更方便的進行安裝使用。,"(4, 4)","(85, 87)",data/report.pdf
73,除了增加GUI(Graphical User Interface：圖形使用者介面)管理頁面外，經過國網中心修改，它亦可直接使用繁體中文介面。,"(4, 4)","(88, 89)",data/report.pdf
74,但由於自動設定的地方較多，對於要修改細節部分的使用者反而降低了「客製化」的程度。,"(4, 4)","(90, 91)",data/report.pdf
75,LighttpdLighttpd（發音為lighty）是一套開放原始碼的網頁伺服器，以BSD許可證釋出。,"(4, 4)","(92, 94)",data/report.pdf
76,相較於其他的網頁伺服器，lighttpd僅需少量的記憶體及CPU資源即可達4到同樣的效能。,"(4, 5)","(94, 96)",data/report.pdf
77,,"(5, 5)","(97, 97)",data/report.pdf
78,特色： 提供FastCGI及SCGI的負載平衡 支援chroot 支援select()/poll()及更有效率的kqueue/epoll連線狀態判斷 支援條件重寫（Conditional rewrites） 支援SSL連線 透過LDAP server認證 rrdtool狀態輸出 Rule-based downloading Server-side includes support Virtual hosting Modules support Cache Meta Language Minimal WebDAV support Servlet (AJP) support（1.5.x版後）FFmpegFFmpeg是一個自由軟體(Free Software)，可以執行音訊和視訊多種格式的錄影、轉檔、串流功能，包含了libavcodec ─這是一個用於多個專案中音訊和視訊的解碼器函式庫，以及 libavformat ——一個音訊與視訊格式轉換函式庫。,"(5, 5)","(98, 116)",data/report.pdf
79,"""FFmpeg""這個單詞中的 ""FF"" 指的是 ""Fast Forward""。","(5, 5)","(117, 117)",data/report.pdf
80,"有些新手寫信給""FFmpeg""的項目負責人，詢問FF是不是代表「Fast Free」或者「Fast Fourier」等意思，""FFmpeg""的項目負責人回信說「Just for the record, the original meaning of""FF"" in FFmpeg is ""Fast Forward""...」這個項目最初是由Fabrice Bellard發起的，而現在是由Michael Niedermayer在進行維護。","(5, 5)","(117, 122)",data/report.pdf
81,許多FFmpeg的開發者同時也是MPlayer項目的成員，FFmpeg在MPlayer項目中是被設計為伺服器版本進行開發。,"(5, 5)","(122, 123)",data/report.pdf
82,組成元件： ffmpeg 是一個命令列工具，用來對視訊檔案轉換格式，也支援對電視卡即時編碼 ffserver 是一個 HTTP 多媒體即時廣播串流伺服器，支援時光平移 ffplay 是一個簡單的播放器，基於 SDL 與 FFmpeg 函式庫 libavcodec 包含了全部 FFmpeg 音訊／視訊 編解碼函式庫5 libavformat 包含 demuxers 和 muxer 函式庫 libavutil 包含一些工具函式庫 libpostproc 對於視訊做前處理的函式庫 libswscale 對於影像作縮放的函式庫PHPPHP（PHP：Hypertext Preprocessor）是一種在電腦上執行的腳本語言，主要用途是在於處理動態網頁，也包含了命令列執行介面（command lineinterface），或者產生圖形使用者介面（GUI）程式。,"(5, 6)","(124, 138)",data/report.pdf
83,PHP最早由Rasmus Lerdorf在1995年發明，而現在PHP的標準由PHP Group和開放原始碼社群維護。,"(6, 6)","(139, 140)",data/report.pdf
84,PHP以PHP License作為許可協議，不過因為這個協議限制了PHP名稱的使用，所以和開放原始碼許可協議GPL不相容。,"(6, 6)","(140, 141)",data/report.pdf
85,PHP的應用範圍相當廣泛，尤其是在網頁程式的開發上。,"(6, 6)","(142, 142)",data/report.pdf
86,一般來說PHP大多執行在網頁伺服器上，透過執行PHP程式碼來產生使用者瀏覽的網頁。,"(6, 6)","(142, 143)",data/report.pdf
87,PHP可以在多數的伺服器和作業系統上執行，而且使用PHP完全是免費的。,"(6, 6)","(143, 144)",data/report.pdf
88,根據2007年4月的統計資料，PHP已經被安裝在超過2000萬個網站和100萬台伺服器上。,"(6, 6)","(144, 145)",data/report.pdf
89,PHP原本的簡稱為Personal Home Page，是Rasmus Lerdorf為了要維護個人網頁，而用C語言開發的一些CGI工具程式集，來取代原先使用的Perl程式。,"(6, 6)","(146, 147)",data/report.pdf
90,最初這些工具程式用來顯示Rasmus Lerdorf的個人履歷，以及統計網頁流量。,"(6, 6)","(148, 148)",data/report.pdf
91,他將這些程式和一些表單直譯器整合起來，稱為PHP/FI。,"(6, 6)","(148, 149)",data/report.pdf
92,PHP/FI可以和資料庫連接，產生簡單的動態網頁程式。,"(6, 6)","(149, 150)",data/report.pdf
93,Rasmus Lerdorf在1995年6月8日將PHP/FI公開釋出，希望可以透過社群來加速程式開發與尋找錯誤。,"(6, 6)","(150, 151)",data/report.pdf
94,這個釋出的版本命名為PHP 2，已經有今日PHP的一些雛型，像是類似的變數命名方式、表單處理功能、以及嵌入到HTML中執行的能力。,"(6, 6)","(151, 153)",data/report.pdf
95,程式語法上也類似Perl，有較多的限制，不過更簡單、更有彈性。,"(6, 6)","(153, 154)",data/report.pdf
96,JSPJSP（全稱JavaServer Pages）是由Sun Microsystems公司倡導和許多公司參與共同建立的一種使軟體開發者可以響應用戶端請求，而動態生成HTML、XML或其他格式文檔的Web網頁的技術標準。,"(6, 6)","(155, 158)",data/report.pdf
97,JSP技術是以Java語言作為指令碼語言的，JSP網頁為整個伺服器端的Java函式庫單元提供了一個介面來服務於HTTP的應用程式。,"(6, 6)","(158, 160)",data/report.pdf
98,JSP使Java代碼和特定的預定義動作可以嵌入到靜態頁面中。,"(6, 6)","(161, 161)",data/report.pdf
99,JSP句法增加了被稱為JSP動作的XML標籤，它們用來呼叫內建功能。,"(6, 6)","(161, 162)",data/report.pdf
100,另外，可以建立JSP6標籤函式庫，然後像使用標準HTML或XML標籤一樣使用它們。,"(6, 7)","(162, 164)",data/report.pdf
101,標籤函式庫提供了一種和平台無關的擴充功能伺服器性能的方法。,"(7, 7)","(164, 165)",data/report.pdf
102,JSP被JSP編譯器編譯成Java Servlets。,"(7, 7)","(166, 166)",data/report.pdf
103,一個JSP編譯器可以把JSP編譯成JAVA代碼寫的servlet然後再由JAVA編譯器來編譯成機器碼，也可以直接編譯成二進制碼。,"(7, 7)","(166, 168)",data/report.pdf
104,從架構上說，JSP可以被看作是從Servlets高階提煉而作為JAVA Servlet 2.1API的擴充功能而應用。,"(7, 7)","(169, 170)",data/report.pdf
105,Servlets和JSPs最早都是由Sun Microsystems（昇陽公司）開發的。,"(7, 7)","(170, 171)",data/report.pdf
106,從JSP1.2版本以來，JSP處於Java Community Process（有人譯為：JAVA社群組織）開發模式下。,"(7, 7)","(171, 172)",data/report.pdf
107,JSR-53規定了JSP 1.2和Servlet 2.4的規範，JSR-152規定了JSP 2.0的規範。,"(7, 7)","(172, 173)",data/report.pdf
108,2006年5月，JSP 2.1的規範作為Java EE 5的一部份，在JSR-245中發布。,"(7, 7)","(173, 174)",data/report.pdf
109,FUSEFUSE(Filesystem in Userspace，中文直譯：使用者空間檔案系統)是對於類Unix電腦作業系統的一個可負載kernel模組，它可以讓未經授權的使用者創造他們自己的檔案系統而無需編輯kernel碼。,"(7, 7)","(175, 178)",data/report.pdf
110,當FUSE模組提供一個「橋樑」給實際的kernel介面時，這可以藉由在使用者空間執行Hadoop HDFS檔案系統碼來達成。,"(7, 7)","(178, 180)",data/report.pdf
111,四、研究方法及步驟(一)初始概念和規劃一開始我們在各自的電腦上架設多台虛擬機器，全部安裝Linux作業系統，並且在多台虛擬機器上安裝Hadoop叢集，藉以模擬多台電腦做平行叢集運算(雲端運算)的效果。,"(7, 7)","(181, 185)",data/report.pdf
112,接著我們就開始尋找Hadoop及包含於子計畫中的HDFS、MapReduce能做哪一方面的應用，我們有和研究所的學長和教授討論這個問題，像是人臉辨識、聲音辨識、影片分段載入與字幕搜尋…等想法都有被提出來討論過。,"(7, 7)","(186, 188)",data/report.pdf
113,而經過可行性、困難度與原創性等多方面的考量後，最終我們決定設計一個影音網站，並將根基於Hadoop的Nutch搜尋引擎來修改與整合，作為網站搜尋功能的應用，具體呈現具備雲端運算特性儲存和搜尋功能的影音網站。,"(7, 7)","(188, 191)",data/report.pdf
114,(二) 系統架設有了明確的方向後，我們便開始收集相關資料並逐步架設整個系統，由於網站牽扯的層面相當多，因此需要安裝許多各有用處的程式和套件。,"(7, 7)","(192, 194)",data/report.pdf
115,首先，網站需要一個網頁伺服器，我們選擇Lighttpd做為我們網站的伺服器，除了它是一套免費開放原始碼伺服器之外，它不需耗用主機太多資源的「輕7量」特性，也使得在測詴用的主機不一定要高效運算能力就可順暢的使用並實驗網站中各網頁的功能，因此，它的功能對於做專題研究的我們已經相當足夠了。,"(7, 8)","(195, 199)",data/report.pdf
116,Lighttpd伺服器支援php程式語言，於是我們網頁使用php 來進行開發，在影片轉檔方面，我們選用FFmpeg做為轉檔的軟體工具，當然和它是可自行修改的自由軟體有關，如此我們可以用自己的方式使用它的轉檔功能，而在播放器方面，我們安裝了支援影音串流播放的Flowplayer，可在觀看影片時拉時間條進行播放，不一定要從頭看到尾。,"(8, 8)","(200, 204)",data/report.pdf
117,在搜尋引擎方面，我們一開始是架設Nutch搜尋引擎來測詴，期間也曾嘗詴新的Crawlzilla搜尋引擎，而在經過一連串的測詴與比較後，我們發現Nutch和Crawlzilla的原理大致相同，而Crawlzilla的安裝和設定比較平易近人，相較Nutch更具備了GUI的管理頁面。,"(8, 8)","(205, 208)",data/report.pdf
118,但也因為系統十分方便，許多地方有都幫使用者做自動設定，這樣讓我們想要修改程式內部細節與參數時，反而造成了諸多不便。,"(8, 8)","(209, 210)",data/report.pdf
119,於是在經過詳細的討論後，我們最後決定使用Nutch搜尋引擎來做為我們影音網站的搜尋引擎。,"(8, 8)","(210, 211)",data/report.pdf
120,最後在雲端分散儲存方面，我們運用的是FUSE的虛擬資料夾技術，將供上傳影片用的資料夾掛載到HDFS中，確實完成雲端分散儲存，將資料分段儲存並擁有副本，可防止資料損毀和遺失。,"(8, 8)","(212, 214)",data/report.pdf
121,而運用這種機制，儲存資料的HDFS所用的Hadoop部分可以和Nutch共用，不需重新安裝架設另一套Hadoop，省去許多麻煩，而且經掛載後資料夾的存取使用和其它一般資料夾相同，不需要使用特殊的控制指令或程序來做存取，只需在存取時注意一些權限問題即可，使用起來十分方便。,"(8, 8)","(215, 218)",data/report.pdf
122,(三)進一步規劃和測詴在網站的各網頁和功能增加時，需要不斷的測詴撰寫的新功能是否正常，以及外觀是否符合期望，且不能只在Internet Explorer瀏覽器上測詴，需要測詴其它種類的瀏覽器，如Mozilla FireFox和Google Chrome上的測詴也需正確顯示其外觀和功能；如果功能不齊全或外觀差異過大，版面配置和網頁程式需重新規劃來改進。,"(8, 8)","(219, 224)",data/report.pdf
123,資料庫管理方面，我們使用mySQL來做為資料庫，除了檢查其上傳資料是否正確的進入指定的欄位，每當網站功能增加或改變，資料庫的種類和各自欄位都需經過適當的修正，增加新的欄位或改變欄位的名稱，以免和新需求不相符。,"(8, 8)","(225, 227)",data/report.pdf
124,套件程式的測詴也是很重要的，它們必頇要達到我們網站預定要求的功能，例如對於FFmpeg-mt，在轉檔過程中我們需要測詴它是否有別於一般的FFmpeg，存在多執行緒(多核心)同時運作的特性，如下頁顯示：81.一般FFmpeg2. FFmpeg-mt,"(8, 10)","(228, 234)",data/report.pdf
125,9我們發現相較於一般FFmpeg，同時間只有單核心獨自運行，一段時間後才交換工作，FFmpeg-mt在轉檔過程中可多執行緒同時運作，測詴結果確實符合我們的預期。Nutch搜尋引擎經過修改後，則需要測詴搜尋結果是否受到影響，以及我們修改後的搜尋頁面呈現；除了正確列出關鍵字搜尋的項目，搜尋頁面必頇要和我們設定的顯示方式相符(包含文字位置、顯示截圖照片…等外觀)，最後要確認它具有定期更新索引庫的能力。FUSE儲存方面需要測詴影片上傳是否正常，像是上傳後的影片是否可以確實進入資料夾並儲存在HDFS中，達到雲端分散儲存的效果；其中在測詴時就牽涉到有關資料夾權限、HDFS上可否進行影片轉檔以及在HDFS上的影片是否可以串流播放等問題。經過一些修正後，最後需確認「上傳影片」到「影片可觀看」的整體流程沒有問題存在，可以順暢的一氣呵成。(四)最後修正與美觀以上工作都完成後，網站的雛型已大致完成，剩下工作只需修正網站各網頁的功能增強、版面配置和外觀美化，以達到我們認為的最佳情形。例如設計方便註冊使用者編輯和刪除自己上傳影片的功能，可讓使用者更好掌握自己上傳的影片，不一定需要透過管理者，就可以對自己上傳的影片進行標題和注釋的變更，並還可以刪除自己不滿意的上傳影片。對於使用者來說，可說是相當貼心的設計。其它方面除了在首頁增加Logo之外，設計各個按鈕色彩和位置分配，以及在網頁執行各類工作時加入特效，令使用者登入網站瀏覽時在視覺上有較鮮明的印象，做為我們影音網站的特色。如此，結合雲端分散儲存與搜尋引擎之影音網站即大功告成。,"(10, 11)","(235, 259)",data/report.pdf
126,10五、系統架構與設計(一)整體網頁架構：,"(11, 11)","(260, 263)",data/report.pdf
127,有超連結私下傳遞,"(11, 11)","(264, 266)",data/report.pdf
128,login.php index.php conn.phpchkid.php phpmailer.php data.phploginchk.phpplayer.php reg.php regchk.php regin.phpupload.php uploadinfo.php uppage.phpwatch.php 使用者會看到的頁面 使用者不會看到的頁面首頁播放頁 註冊頁登入頁上傳頁 確認登入資料影片上傳與轉檔 資料庫連結 網頁上半部與登入登出超連結寄信 確認id無重複資料寫入與判斷 全部影片超連結列表，Nutch用pwdlost.php 忘記密碼pwdlostchk.php 註冊認證重設密碼pwdlostin.php 資料寫入與判斷 pop3.php smtp.php 信件協定comment.php commentadd.phpcommentload.phpcommentdel.php 留言板 載入留言 新增留言刪除留言 inappropriate.php 不適當影片檢舉flash播放器list.php 分類頁myvideos.php 影片管理頁editinfo.php 修改影片資訊delvideo.php 刪除影片 search.jsp 搜尋頁11(二)影片觀看簡易流程架構：,"(11, 12)","(267, 297)",data/report.pdf
129,（三）伺服器系統架構（四）Nutch 架構,"(12, 12)","(298, 300)",data/report.pdf
130,MySQL FFmpeg Website(Application)Hardware Nutch(Hadoop) Lighttpd TomcatHDFS-FuseLinux 首頁搜尋後頁面(播放清單) 登入頁面 上傳頁面 影片資料庫可以是用直接搜尋或是用種類按鈕連結 連結影片 上傳影片 使用者登入12六、安裝與實作流程(一)前置作業本次專題實作網頁是使用PHP和JSP語言來進行開發，採用免費且穩定之Linux作業系統作為平台，我們使用的Linux發行版本是Ubuntu 10.04。(二)安裝lighttpd開始先在根目錄下建立一個lighttpd資料夾，用來存放接著要下載的壓縮檔及解壓縮的資料夾sudo mkdir -p /lighttpd(加上home及var資料夾底下的lighttpd，一共3個地方會有lighttpd相關的資料)(以下指令大多為root權限，如果user權限無法通過，煩請先輸入sudo su或在指令之前加上sudo ，更改為root權限)安裝需要的套件(安裝前請先更新套件列表)：到「系統」→「管理」→「Synaptic套件管理程式」，搜尋套件名稱，按滑鼠右鍵「標記為安裝」，接著再點選左上角的「套用」即可安裝zlib1g-devlibbz2-devlibpcre++0libpcre++-devlibtoollibltdl-devautomakephp5-cgiphp5-mysql,"(12, 13)","(301, 333)",data/report.pdf
131,Lighttpd ,"(13, 13)","(334, 334)",data/report.pdf
132,上安裝 ,"(13, 13)","(334, 334)",data/report.pdf
133,Mod-H264 ,"(13, 13)","(334, 334)",data/report.pdf
134,Streaming ,"(13, 13)","(334, 334)",data/report.pdf
135,Modulecd ,"(13, 13)","(334, 335)",data/report.pdf
136,/lighttpdsudo ,"(13, 13)","(335, 336)",data/report.pdf
137,wgethttp://download.lighttpd.net/lighttpd/releases-1.4.x/lighttpd-1.4.26.tar.gzsudo ,"(13, 13)","(336, 339)",data/report.pdf
138,tar ,"(13, 13)","(339, 339)",data/report.pdf
139,-zxvf ,"(13, 13)","(339, 339)",data/report.pdf
140,lighttpd-1.4.26.tar.gz13sudo ,"(13, 14)","(339, 341)",data/report.pdf
141,wgethttp://h264.code-shop.com/download/lighttpd-1.4.18_mod_h264_streaming-2.2.9.tar.gzsudo ,"(14, 14)","(341, 344)",data/report.pdf
142,tar ,"(14, 14)","(344, 344)",data/report.pdf
143,-zxvf ,"(14, 14)","(344, 344)",data/report.pdf
144,lighttpd-1.4.18_mod_h264_streaming-2.2.9.tar.gzcp ,"(14, 14)","(344, 345)",data/report.pdf
145,lighttpd-1.4.18/src/mod_h264_streaming.c ,"(14, 14)","(345, 345)",data/report.pdf
146,lighttpd-1.4.26/src/cp ,"(14, 14)","(345, 346)",data/report.pdf
147,lighttpd-1.4.18/src/mod_streaming_export.hlighttpd-1.4.26/src/cp ,"(14, 14)","(346, 348)",data/report.pdf
148,lighttpd-1.4.18/src/moov.c ,"(14, 14)","(348, 348)",data/report.pdf
149,lighttpd-1.4.26/src/cp ,"(14, 14)","(348, 349)",data/report.pdf
150,lighttpd-1.4.18/src/moov.h ,"(14, 14)","(349, 349)",data/report.pdf
151,lighttpd-1.4.26/src/cp ,"(14, 14)","(349, 350)",data/report.pdf
152,lighttpd-1.4.18/src/mp4_io.c ,"(14, 14)","(350, 350)",data/report.pdf
153,lighttpd-1.4.26/src/cp ,"(14, 14)","(350, 351)",data/report.pdf
154,lighttpd-1.4.18/src/mp4_io.h ,"(14, 14)","(351, 351)",data/report.pdf
155,lighttpd-1.4.26/src/cp ,"(14, 14)","(351, 352)",data/report.pdf
156,lighttpd-1.4.18/src/mp4_reader.c ,"(14, 14)","(352, 352)",data/report.pdf
157,lighttpd-1.4.26/src/cp ,"(14, 14)","(352, 353)",data/report.pdf
158,lighttpd-1.4.18/src/mp4_reader.h ,"(14, 14)","(353, 353)",data/report.pdf
159,lighttpd-1.4.26/src/cp ,"(14, 14)","(353, 354)",data/report.pdf
160,lighttpd-1.4.18/src/mp4_writer.c ,"(14, 14)","(354, 354)",data/report.pdf
161,lighttpd-1.4.26/src/cp ,"(14, 14)","(354, 355)",data/report.pdf
162,lighttpd-1.4.18/src/mp4_writer.h ,"(14, 14)","(355, 355)",data/report.pdf
163,lighttpd-1.4.26/src/cp ,"(14, 14)","(355, 356)",data/report.pdf
164,lighttpd-1.4.18/src/mp4_process.c ,"(14, 14)","(356, 356)",data/report.pdf
165,lighttpd-1.4.26/src/cp ,"(14, 14)","(356, 357)",data/report.pdf
166,lighttpd-1.4.18/src/mp4_process.h ,"(14, 14)","(357, 357)",data/report.pdf
167,lighttpd-1.4.26/src/cp ,"(14, 14)","(357, 358)",data/report.pdf
168,lighttpd-1.4.18/src/output_bucket.c ,"(14, 14)","(358, 358)",data/report.pdf
169,lighttpd-1.4.26/src/cp ,"(14, 14)","(358, 359)",data/report.pdf
170,lighttpd-1.4.18/src/output_bucket.h ,"(14, 14)","(359, 359)",data/report.pdf
171,lighttpd-1.4.26/src/cp ,"(14, 14)","(359, 360)",data/report.pdf
172,lighttpd-1.4.18/src/output_mp4.c ,"(14, 14)","(360, 360)",data/report.pdf
173,lighttpd-1.4.26/src/cp ,"(14, 14)","(360, 361)",data/report.pdf
174,lighttpd-1.4.18/src/output_mp4.h ,"(14, 14)","(361, 361)",data/report.pdf
175,lighttpd-1.4.26/src/開啟並修改Makefile.am：sudo ,"(14, 14)","(361, 363)",data/report.pdf
176,gedit ,"(14, 14)","(363, 363)",data/report.pdf
177,lighttpd-1.4.26/src/Makefile.am在開啟的Makefile.am中找尋空白處貼上以下敘述：lib_LTLIBRARIES ,"(14, 14)","(363, 365)",data/report.pdf
178,+= ,"(14, 14)","(365, 365)",data/report.pdf
179,mod_h264_streaming.lamod_h264_streaming_la_SOURCES ,"(14, 14)","(365, 366)",data/report.pdf
180,= ,"(14, 14)","(366, 366)",data/report.pdf
181,mod_h264_streaming.c ,"(14, 14)","(366, 366)",data/report.pdf
182,\mod_streaming_export.h ,"(14, 14)","(366, 367)",data/report.pdf
183,\moov.c ,"(14, 14)","(367, 368)",data/report.pdf
184,moov.h ,"(14, 14)","(368, 368)",data/report.pdf
185,\mp4_io.c ,"(14, 14)","(368, 369)",data/report.pdf
186,mp4_io.h ,"(14, 14)","(369, 369)",data/report.pdf
187,\mp4_reader.c ,"(14, 14)","(369, 370)",data/report.pdf
188,mp4_reader.h ,"(14, 14)","(370, 370)",data/report.pdf
189,\mp4_writer.c ,"(14, 14)","(370, 371)",data/report.pdf
190,mp4_writer.h ,"(14, 14)","(371, 371)",data/report.pdf
191,\mp4_process.c ,"(14, 14)","(371, 372)",data/report.pdf
192,mp4_process.h ,"(14, 14)","(372, 372)",data/report.pdf
193,\output_bucket.c ,"(14, 14)","(372, 373)",data/report.pdf
194,output_bucket.h\output_mp4.c ,"(14, 14)","(373, 375)",data/report.pdf
195,output_mp4.hmod_h264_streaming_la_CFLAGS ,"(14, 14)","(375, 376)",data/report.pdf
196,= ,"(14, 14)","(376, 376)",data/report.pdf
